file name,mask name,mask number,class
Small_images_Masks\218-4_part_18.png,Small_images_Masks\218-4_part_18_seg.npy,795,0
Small_images_Masks\249-3_part_23.png,Small_images_Masks\249-3_part_23_seg.npy,96,0
Small_images_Masks\238-3_part_25.png,Small_images_Masks\238-3_part_25_seg.npy,227,1
Small_images_Masks\238-5_part_4.png,Small_images_Masks\238-5_part_4_seg.npy,237,0
Small_images_Masks\218-6_part_22.png,Small_images_Masks\218-6_part_22_seg.npy,450,1
Small_images_Masks\218-5_part_10.png,Small_images_Masks\218-5_part_10_seg.npy,97,1
Small_images_Masks\238-3_part_3.png,Small_images_Masks\238-3_part_3_seg.npy,18,1
Small_images_Masks\218-4_part_18.png,Small_images_Masks\218-4_part_18_seg.npy,883,1
Small_images_Masks\218-6_part_3.png,Small_images_Masks\218-6_part_3_seg.npy,45,0
Small_images_Masks\218-6_part_19.png,Small_images_Masks\218-6_part_19_seg.npy,466,1
Small_images_Masks\238-4_part_8.png,Small_images_Masks\238-4_part_8_seg.npy,183,0
Small_images_Masks\259-1_part_21.png,Small_images_Masks\259-1_part_21_seg.npy,111,0
Small_images_Masks\218-6_part_4.png,Small_images_Masks\218-6_part_4_seg.npy,179,0
Small_images_Masks\249-1_part_15.png,Small_images_Masks\249-1_part_15_seg.npy,135,0
Small_images_Masks\238-2_part_8.png,Small_images_Masks\238-2_part_8_seg.npy,276,0
Small_images_Masks\238-1_part_20.png,Small_images_Masks\238-1_part_20_seg.npy,31,0
Small_images_Masks\218-5_part_7.png,Small_images_Masks\218-5_part_7_seg.npy,681,1
Small_images_Masks\249-1_part_20.png,Small_images_Masks\249-1_part_20_seg.npy,254,0
Small_images_Masks\238-1_part_11.png,Small_images_Masks\238-1_part_11_seg.npy,182,1
Small_images_Masks\238-1_part_18.png,Small_images_Masks\238-1_part_18_seg.npy,134,1
Small_images_Masks\218-5_part_8.png,Small_images_Masks\218-5_part_8_seg.npy,575,1
Small_images_Masks\218-6_part_10.png,Small_images_Masks\218-6_part_10_seg.npy,89,1
Small_images_Masks\218-5_part_7.png,Small_images_Masks\218-5_part_7_seg.npy,853,1
Small_images_Masks\238-3_part_7.png,Small_images_Masks\238-3_part_7_seg.npy,63,0
Small_images_Masks\218-5_part_11.png,Small_images_Masks\218-5_part_11_seg.npy,934,1
Small_images_Masks\218-5_part_2.png,Small_images_Masks\218-5_part_2_seg.npy,373,0
Small_images_Masks\238-6_part_13.png,Small_images_Masks\238-6_part_13_seg.npy,46,1
Small_images_Masks\218-6_part_7.png,Small_images_Masks\218-6_part_7_seg.npy,742,1
Small_images_Masks\218-6_part_4.png,Small_images_Masks\218-6_part_4_seg.npy,250,1
Small_images_Masks\218-6_part_14.png,Small_images_Masks\218-6_part_14_seg.npy,195,1
Small_images_Masks\218-6_part_10.png,Small_images_Masks\218-6_part_10_seg.npy,79,0
Small_images_Masks\238-3_part_23.png,Small_images_Masks\238-3_part_23_seg.npy,356,0
Small_images_Masks\238-2_part_1.png,Small_images_Masks\238-2_part_1_seg.npy,22,0
Small_images_Masks\238-2_part_18.png,Small_images_Masks\238-2_part_18_seg.npy,373,0
Small_images_Masks\218-6_part_11.png,Small_images_Masks\218-6_part_11_seg.npy,23,1
Small_images_Masks\238-6_part_5.png,Small_images_Masks\238-6_part_5_seg.npy,245,0
Small_images_Masks\218-6_part_7.png,Small_images_Masks\218-6_part_7_seg.npy,1007,1
Small_images_Masks\218-6_part_17.png,Small_images_Masks\218-6_part_17_seg.npy,132,1
Small_images_Masks\218-4_part_21.png,Small_images_Masks\218-4_part_21_seg.npy,165,1
Small_images_Masks\218-5_part_12.png,Small_images_Masks\218-5_part_12_seg.npy,742,1
Small_images_Masks\218-6_part_11.png,Small_images_Masks\218-6_part_11_seg.npy,770,1
